sentence1.x,sentence2.x,sentence3.x,item_no,sentence1.y,sentence2.y,sentence3.y
A study was conducted to investigate opinions on x fizzy drinks.,Each drink was tested by y people.,"The graph shows, for each fizzy drink, the number of people who said they enjoyed the drink.",22,A study was conducted to investigate opinions on x fizzy drinks.,Each drink was tested by y people.,"The graph shows, for each fizzy drink, the number of people who said they enjoyed the drink."
A study was conducted to investigate food hygiene at x fast-food chains.,"For each fast-food chain, y restaurants were investigated.","The graph shows, for each fast-food chain, the number of restaurants where no hygiene issues were identified.",23,A study was conducted to investigate food hygiene at x fast-food chains.,"For each fast-food chain, y restaurants were investigated.","The graph shows, for each fast-food chain, the number of restaurants where no hygiene issues were identified."
A study was conducted to investigate the aptitude of x psychology students.,Each student answered y questions.,"The graph shows, for each psychology student, the number of questions answered correctly.",24,A study was conducted to investigate the aptitude of x psychology students.,Each student answered y questions.,"The graph shows, for each psychology student, the number of questions answered correctly."
A study was conducted to investigate the aptitude of x trainee engineers.,Each trainee engineer answered y questions,"The graph shows, for each trainee engineer, the number of questions answered correctly.",25,A study was conducted to investigate the aptitude of x trainee engineers.,Each trainee engineer answered y questions,"The graph shows, for each trainee engineer, the number of questions answered correctly."
A study was conducted to investigate job satisfaction at x taxi companies.,"For each company, y employees were assessed.","The graph shows, for each taxi company, the number of employees who reported liking their job.",26,A study was conducted to investigate job satisfaction at x taxi companies.,"For each company, y employees were assessed.","The graph shows, for each taxi company, the number of employees assessed who reported liking their job."
A study was conducted to investigate the efficacy of x climbing shoes.,Each shoe was assessed by y climbers.,"The graph shows, for each different climbing shoe, the number of climbers who noticed improvements in their climbing.",27,A study was conducted to investigate the efficacy of x climbing shoes.,Each shoe was assessed by y climbers.,"The graph shows, for each different climbing shoe, the number of climbers who noticed improvements in their climbing."
A study was conducted to investigate the efficacy of x sunscreen products.,Each product was tested by y people.,"The graph shows, for each sunscreen product, the number of people who avoided sunburn after using the product.
",28,A study was conducted to investigate the efficacy of x sunscreen products.,Each product was tested by y people.,"The graph shows, for each sunscreen product, the number of people who avoided sunburn after using the product."
A study was conducted to investigate the efficacy of x animal breeding programmes.,Each breeding programme involved y animals.,"The graph shows, for each breeding programme, the number of animals that successfully produced offspring.",29,A study was conducted to investigate the efficacy of x animal breeding programmes.,Each breeding programme involved y animals.,"The graph shows, for each breeding programme, the number of animals that successfully produced offspring."
A study was conducted to investigate the ease of assembly of x furniture products.,Each furniture product was tested by y people.,"The graph shows, for each product, the number of people who assembled it on their first attempt.",30,A study was conducted to investigate the ease of assembly of x furniture products.,Each furniture product was tested by y people.,"The graph shows, for each product, the number of people who assembled it on their first attempt."
A study was conducted to investigate the efficacy of x time management courses.,Each course was attended by y people.,"The graph shows, for each course, the number of people who felt it had improved their efficiency.",31,A study was conducted to investigate the efficacy of x time management courses.,Each course was attended by y people.,"The graph shows, for each course, the number of people who felt it had improved their efficiency."
A study was conducted to investigate attitudes towards x insurance policies.,Each policy was reviewed by y policy holders.,"The graph shows, for each insurance policy, the number of people who thought their policy was good value for money.",32,A study was conducted to investigate attitudes towards x insurance policies.,Each policy was reviewed by y policy holders.,"The graph shows, for each insurance policy, the number of people who thought their policy was good value for money."
A study was conducted to investigate the volume levels of x concert sound systems.,Each sound system was assessed by y people.,"The graph shows, for each concert sound system, the number of people who reported satisfactory volume levels.",33,A study was conducted to investigate the volume levels of x concert sound systems.,Each sound system was assessed by y people.,"The graph shows, for each concert sound system, the number of people who reported satisfactory volume levels."
A study was conducted to investigate animal health at x large farms.,"At each farm, y animals were tested.","The graph shows, for each farm, the number of animals that were free from disease.",34,A study was conducted to investigate animal health at x large farms.,"At each farm, y animals were tested.","The graph shows, for each farm, the number of animals that were free from disease."
A study was conducted to investigate bread consumption in x different UK counties.,y people from each county participated in the survey.,"The graph shows, for each county, the number of people who ate bread daily.",35,A study was conducted to investigate bread consumption in x different UK counties.,Y people from each county participated in the survey.,"The graph shows, for each county, the number of people surveyed who ate bread daily."
A study was conducted to investigate card payments in x supermarkets.,"At each supermarket, y shoppers were surveyed.","The graph shows, for each supermarket, the number of shoppers who paid by card.",36,A study was conducted to investigate card payments in x supermarkets.,"At each supermarket, y shoppers were surveyed.","The graph shows, for each supermarket, the number of shoppers surveyed who paid by card."
A study was conducted to investigate pension scheme enrolment in x companies.,"For each company, y employees were assessed.","The graph shows, for each company, how many of the employees had completed the health and safety training.",37,A study was conducted to investigate health and safety training at x companies.,"For each company, y employees were assessed.","The graph shows, for each company, how many of the employees had completed the health and safety training."
A study was conducted to investigate the punctuality of x train companies.,"For each train company, y trains were assessed.","The graph shows, for each train company, the number of trains which arrived on time.",38,A study was conducted to investigate the punctuality of x train companies.,"For each train company, y trains were assessed.","The graph shows, for each train company, the number of trains which arrived on time."
A study was conducted to investigate the efficacy of x plant fertilisers.,Each fertiliser was used on y different seeds.,"The graph shows, for each fertiliser, the number of seeds which germinated.",39,A study was conducted to investigate the efficacy of x plant fertilisers.,Each fertiliser was used on y different seeds.,"The graph shows, for each fertiliser, the number of seeds which germinated."
A study was conducted to investigate issues in x new video games.,Each game was tested by y gamers.,"The graph shows, for each video game, the number of gamers who found issues.",40,A study was conducted to investigate issues in x new video games.,Each game was tested by y gamers.,"The graph shows, for each video game, the number of gamers who found issues."
